https://www.youtube.com/embed/EJMj-VBdkX4|Real Numbers Part-1|Class-10|Maths

https://www.youtube.com/live/quu5ZWM1im4?si=VHB6JXpjI3S-Mxqd | Demo Live Class | 10 | All

https://www.youtube.com/watch?v=UFvHmZOEEXA | Plus Two Intro Class | 12 | All
https://www.youtube.com/watch?v=sjUyYPPlZJo | Learning Orientation | 11 | All

# CLASS 10 - Maths
https://www.youtube.com/watch?v=example1 | Algebra Basics | 10 | Maths
https://www.youtube.com/watch?v=example2 | Trigonometry Intro | 10 | Maths

# CLASS 10 - Science
https://www.youtube.com/watch?v=example3 | Physics Basics | 10 | Science
https://www.youtube.com/watch?v=example4 | Chemistry Intro | 10 | Science

# CLASS 11 - Maths
https://www.youtube.com/watch?v=example5 | Functions | 11 | Maths
https://www.youtube.com/watch?v=example6 | Limits Basics | 11 | Maths

# CLASS 11 - Physics
https://www.youtube.com/watch?v=example7 | Motion | 11 | Physics
https://www.youtube.com/watch?v=example8 | Laws of Motion | 11 | Physics

# CLASS 12 - Maths
https://www.youtube.com/watch?v=example9 | Calculus Intro | 12 | Maths
https://www.youtube.com/watch?v=example10 | Integration | 12 | Maths

# CLASS 12 - Physics
https://www.youtube.com/watch?v=example11 | Electrostatics | 12 | Physics
https://www.youtube.com/watch?v=example12 | Current Electricity | 12 | Physics
